referrer,views_total,views_unique
github.com,119,25
Google,105,52
DuckDuckGo,11,2
Bing,8,4
luomai.github.io,5,1
siyangshao.com,4,3
ustiugov.github.io,2,2
link.zhihu.com,2,1
cse.iitd.ac.in,1,1
doubao.com,1,1
