time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-11 00:00:00+00:00,1.0,1.0,60,17
2024-08-12 00:00:00+00:00,8.0,5.0,402,65
2024-08-13 00:00:00+00:00,36.0,12.0,552,41
2024-08-14 00:00:00+00:00,15.0,6.0,376,25
2024-08-15 00:00:00+00:00,4.0,4.0,206,25
2024-08-16 00:00:00+00:00,14.0,5.0,293,23
2024-08-17 00:00:00+00:00,14.0,3.0,137,11
2024-08-18 00:00:00+00:00,23.0,7.0,127,14
2024-08-19 00:00:00+00:00,4.0,4.0,167,32
2024-08-20 00:00:00+00:00,1.0,1.0,156,29
2024-08-21 00:00:00+00:00,1.0,1.0,194,28
2024-08-22 00:00:00+00:00,2.0,2.0,370,31
2024-08-23 00:00:00+00:00,1.0,1.0,227,33
2024-08-24 00:00:00+00:00,,,92,13
