time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,44,20,23,19
2026-06-30 00:00:00+00:00,164,52,29,14
2026-07-01 00:00:00+00:00,38,37,20,10
2026-07-02 00:00:00+00:00,28,28,34,14
2026-07-03 00:00:00+00:00,15,15,13,11
2026-07-04 00:00:00+00:00,8,6,10,9
2026-07-05 00:00:00+00:00,17,15,6,5
2026-07-06 00:00:00+00:00,77,64,17,13
2026-07-07 00:00:00+00:00,89,69,14,12
2026-07-08 00:00:00+00:00,22,14,24,15
2026-07-09 00:00:00+00:00,36,26,14,7
2026-07-10 00:00:00+00:00,114,26,13,9
2026-07-11 00:00:00+00:00,30,21,10,7
2026-07-12 00:00:00+00:00,32,28,11,7
