referrer,views_total,views_unique
Google,168,57
github.com,111,34
Bing,17,8
luomai.github.io,4,2
Baidu,4,1
link.zhihu.com,2,2
DuckDuckGo,1,1
StartPage,1,1
chatgpt.com,1,1
qwant.com,1,1
