referrer,views_total,views_unique
github.com,434,29
Google,238,93
Bing,113,20
link.zhihu.com,66,12
usenix.org,12,3
li.feishu.cn,10,3
cn.bing.com,9,6
DuckDuckGo,9,2
ones.ainewera.com,9,2
luomai.github.io,7,4
