referrer,views_total,views_unique
Google,70,46
github.com,53,19
Bing,12,8
DuckDuckGo,5,3
link.zhihu.com,2,2
li.feishu.cn,2,1
statics.teams.cdn.office.net,1,1
t.co,1,1
ustiugov.github.io,1,1
