time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,5,5,93,12
2026-02-01 00:00:00+00:00,3,2,36,16
2026-02-02 00:00:00+00:00,4,4,126,36
2026-02-03 00:00:00+00:00,22,16,90,23
2026-02-04 00:00:00+00:00,4,4,45,23
2026-02-05 00:00:00+00:00,7,6,27,21
2026-02-06 00:00:00+00:00,4,4,56,20
2026-02-07 00:00:00+00:00,12,8,30,15
2026-02-08 00:00:00+00:00,5,4,20,10
2026-02-09 00:00:00+00:00,7,7,62,25
2026-02-10 00:00:00+00:00,5,4,48,24
2026-02-11 00:00:00+00:00,4,3,62,27
2026-02-12 00:00:00+00:00,9,7,61,16
2026-02-13 00:00:00+00:00,8,8,23,14
