time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,12,10,23,10
2026-07-19 00:00:00+00:00,5,5,13,6
2026-07-20 00:00:00+00:00,602,25,12,9
2026-07-21 00:00:00+00:00,47,40,34,7
2026-07-22 00:00:00+00:00,35,31,18,14
2026-07-23 00:00:00+00:00,19,14,13,13
2026-07-24 00:00:00+00:00,20,14,17,11
2026-07-25 00:00:00+00:00,9,9,11,7
2026-07-26 00:00:00+00:00,20,9,11,11
2026-07-27 00:00:00+00:00,13,9,22,8
2026-07-28 00:00:00+00:00,9,8,13,10
2026-07-29 00:00:00+00:00,18,6,14,12
2026-07-30 00:00:00+00:00,191,11,22,18
2026-07-31 00:00:00+00:00,6,5,31,16
