referrer,views_total,views_unique
Google,38,26
github.com,30,14
Bing,15,7
link.atomgit.com,7,1
DuckDuckGo,2,2
Baidu,2,1
future-xy.github.io,1,1
harshitbudhiraja.substack.com,1,1
search.brave.com,1,1
ustiugov.github.io,1,1
