time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-24 00:00:00+00:00,3,3,97,17
2024-11-25 00:00:00+00:00,15,3,395,59
2024-11-26 00:00:00+00:00,24,5,541,56
2024-11-27 00:00:00+00:00,27,5,302,33
2024-11-28 00:00:00+00:00,23,7,136,28
2024-11-29 00:00:00+00:00,22,9,377,43
2024-11-30 00:00:00+00:00,12,6,240,19
2024-12-01 00:00:00+00:00,18,3,190,29
2024-12-02 00:00:00+00:00,34,9,371,45
2024-12-03 00:00:00+00:00,31,6,366,36
2024-12-04 00:00:00+00:00,3,3,190,43
2024-12-05 00:00:00+00:00,1,1,158,34
2024-12-06 00:00:00+00:00,9,3,349,36
2024-12-07 00:00:00+00:00,5,5,82,20
