referrer,views_total,views_unique
github.com,543,27
Google,223,66
gamma.app,27,1
paperswithcode.com,25,1
search.brave.com,16,3
Bing,15,13
linkedin.com,14,12
usenix.org,13,4
cn.bing.com,11,5
link.zhihu.com,10,5
