referrer,views_total,views_unique
Google,223,76
github.com,178,41
Bing,25,9
link.zhihu.com,12,9
yandex.ru,10,1
search.brave.com,9,4
chatgpt.com,8,4
luomai.github.io,7,4
usenix.org,5,5
Baidu,5,1
