referrer,views_total,views_unique
Google,120,66
github.com,85,24
Bing,42,6
doubao.com,2,1
Baidu,1,1
DuckDuckGo,1,1
chatgpt.com,1,1
gamma.app,1,1
huggingface.co,1,1
link.zhihu.com,1,1
