time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,31,21,163,36
2025-12-18 00:00:00+00:00,16,13,200,30
2025-12-19 00:00:00+00:00,14,13,108,25
2025-12-20 00:00:00+00:00,5,4,74,18
2025-12-21 00:00:00+00:00,6,5,47,20
2025-12-22 00:00:00+00:00,9,9,40,23
2025-12-23 00:00:00+00:00,23,17,157,30
2025-12-24 00:00:00+00:00,7,5,92,22
2025-12-25 00:00:00+00:00,11,10,103,24
2025-12-26 00:00:00+00:00,25,16,63,12
2025-12-27 00:00:00+00:00,51,31,259,26
2025-12-28 00:00:00+00:00,29,19,88,13
2025-12-29 00:00:00+00:00,47,32,125,28
2025-12-30 00:00:00+00:00,11,5,41,17
