time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,5,5,24,14
2025-08-28 00:00:00+00:00,6,6,15,12
2025-08-29 00:00:00+00:00,19,7,109,14
2025-08-30 00:00:00+00:00,23,6,37,13
2025-08-31 00:00:00+00:00,18,7,12,7
2025-09-01 00:00:00+00:00,6,6,95,22
2025-09-02 00:00:00+00:00,16,4,90,18
2025-09-03 00:00:00+00:00,18,7,25,17
2025-09-04 00:00:00+00:00,20,7,46,21
2025-09-05 00:00:00+00:00,3,3,40,15
2025-09-06 00:00:00+00:00,6,6,12,11
2025-09-07 00:00:00+00:00,5,5,13,10
2025-09-08 00:00:00+00:00,16,8,40,23
2025-09-09 00:00:00+00:00,16,11,82,14
