referrer,views_total,views_unique
Google,120,70
github.com,73,21
Bing,73,10
search.brave.com,5,2
DuckDuckGo,3,2
Baidu,2,2
chatgpt.com,1,1
doubao.com,1,1
gamma.app,1,1
huggingface.co,1,1
