referrer,views_total,views_unique
Google,227,78
github.com,215,43
Bing,27,10
link.zhihu.com,12,9
yandex.ru,10,1
search.brave.com,9,4
chatgpt.com,8,4
luomai.github.io,7,4
usenix.org,6,5
Baidu,5,1
