referrer,views_total,views_unique
github.com,643,43
Google,474,127
Bing,121,20
link.zhihu.com,62,35
paperswithcode.com,23,18
cn.bing.com,19,10
future-xy.github.io,11,4
mail.qq.com,10,1
luomai.github.io,8,4
chatgpt.com,7,3
