time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-15 00:00:00+00:00,2,2,22,11
2026-02-16 00:00:00+00:00,9,8,13,9
2026-02-17 00:00:00+00:00,4,3,22,17
2026-02-18 00:00:00+00:00,5,3,24,18
2026-02-19 00:00:00+00:00,3,3,24,15
2026-02-20 00:00:00+00:00,113,44,144,22
2026-02-21 00:00:00+00:00,14,11,22,10
2026-02-22 00:00:00+00:00,349,7,38,18
2026-02-23 00:00:00+00:00,9,8,20,10
2026-02-24 00:00:00+00:00,5,5,106,25
2026-02-25 00:00:00+00:00,3,3,33,16
2026-02-26 00:00:00+00:00,12,10,108,25
2026-02-27 00:00:00+00:00,6,5,81,22
2026-02-28 00:00:00+00:00,5,5,41,15
