time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-21 00:00:00+00:00,9,9,66,48
2025-10-22 00:00:00+00:00,9,8,129,53
2025-10-23 00:00:00+00:00,20,18,61,31
2025-10-24 00:00:00+00:00,17,15,69,26
2025-10-25 00:00:00+00:00,4,4,30,19
2025-10-26 00:00:00+00:00,7,6,41,22
2025-10-27 00:00:00+00:00,9,8,86,39
2025-10-28 00:00:00+00:00,20,12,127,31
2025-10-29 00:00:00+00:00,22,18,172,59
2025-10-30 00:00:00+00:00,11,10,97,32
2025-10-31 00:00:00+00:00,19,13,119,32
2025-11-01 00:00:00+00:00,12,11,13,10
2025-11-02 00:00:00+00:00,6,6,61,20
2025-11-03 00:00:00+00:00,39,18,427,41
