time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,191,11,22,18
2026-07-31 00:00:00+00:00,6,5,31,16
2026-08-01 00:00:00+00:00,19,10,15,14
2026-08-02 00:00:00+00:00,6,6,20,12
2026-08-03 00:00:00+00:00,5,5,42,38
2026-08-04 00:00:00+00:00,17,15,60,26
2026-08-05 00:00:00+00:00,14,8,20,15
2026-08-06 00:00:00+00:00,17,8,34,26
2026-08-07 00:00:00+00:00,8,8,11,11
2026-08-08 00:00:00+00:00,13,13,0,0
2026-08-09 00:00:00+00:00,21,9,22,7
2026-08-10 00:00:00+00:00,108,99,14,13
2026-08-11 00:00:00+00:00,8,6,23,11
2026-08-12 00:00:00+00:00,25,8,49,19
