time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-09 00:00:00+00:00,15,4,190,25
2025-06-10 00:00:00+00:00,8,7,366,25
2025-06-11 00:00:00+00:00,30,14,213,36
2025-06-12 00:00:00+00:00,44,17,176,28
2025-06-13 00:00:00+00:00,11,6,158,23
2025-06-14 00:00:00+00:00,19,12,101,17
2025-06-15 00:00:00+00:00,47,13,167,16
2025-06-16 00:00:00+00:00,20,8,165,36
2025-06-17 00:00:00+00:00,49,19,815,31
2025-06-18 00:00:00+00:00,44,16,548,31
2025-06-19 00:00:00+00:00,37,12,175,35
2025-06-20 00:00:00+00:00,7,6,212,16
2025-06-21 00:00:00+00:00,10,7,72,13
2025-06-22 00:00:00+00:00,5,5,117,20
