referrer,views_total,views_unique
Google,202,77
github.com,138,18
ecosia.org,51,3
Bing,18,7
link.zhihu.com,16,5
DuckDuckGo,12,7
cn.bing.com,7,4
sigops.org,4,1
search.brave.com,2,2
galeselee.gitbook.io,2,1
