referrer,views_total,views_unique
github.com,282,34
Google,184,74
link.zhihu.com,18,8
Bing,16,8
search.brave.com,11,4
yandex.ru,10,1
usenix.org,8,6
chatgpt.com,7,3
luomai.github.io,6,4
cn.bing.com,5,3
