time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,76,16,287,67
2025-11-12 00:00:00+00:00,8,8,301,69
2025-11-13 00:00:00+00:00,27,16,255,59
2025-11-14 00:00:00+00:00,57,43,220,47
2025-11-15 00:00:00+00:00,7,7,127,44
2025-11-16 00:00:00+00:00,7,7,52,22
2025-11-17 00:00:00+00:00,20,11,160,51
2025-11-18 00:00:00+00:00,30,17,92,38
2025-11-19 00:00:00+00:00,42,26,104,41
2025-11-20 00:00:00+00:00,9,9,96,38
2025-11-21 00:00:00+00:00,11,7,109,33
2025-11-22 00:00:00+00:00,27,18,121,21
2025-11-23 00:00:00+00:00,12,11,54,17
2025-11-24 00:00:00+00:00,40,22,135,42
