time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-15 00:00:00+00:00,47,13,167,16
2025-06-16 00:00:00+00:00,20,8,165,36
2025-06-17 00:00:00+00:00,49,19,815,31
2025-06-18 00:00:00+00:00,44,16,548,31
2025-06-19 00:00:00+00:00,37,12,175,35
2025-06-20 00:00:00+00:00,7,6,212,16
2025-06-21 00:00:00+00:00,10,7,72,13
2025-06-22 00:00:00+00:00,5,5,182,23
2025-06-23 00:00:00+00:00,10,7,162,27
2025-06-24 00:00:00+00:00,16,5,123,22
2025-06-25 00:00:00+00:00,13,11,161,24
2025-06-26 00:00:00+00:00,7,7,84,17
2025-06-27 00:00:00+00:00,4,2,130,29
2025-06-28 00:00:00+00:00,2,2,29,11
