time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-06 00:00:00+00:00,4,4,56,20
2026-02-07 00:00:00+00:00,12,8,30,15
2026-02-08 00:00:00+00:00,5,4,20,10
2026-02-09 00:00:00+00:00,7,7,62,25
2026-02-10 00:00:00+00:00,5,4,48,24
2026-02-11 00:00:00+00:00,4,3,62,27
2026-02-12 00:00:00+00:00,9,7,61,16
2026-02-13 00:00:00+00:00,8,8,23,14
2026-02-14 00:00:00+00:00,3,3,134,16
2026-02-15 00:00:00+00:00,2,2,22,11
2026-02-16 00:00:00+00:00,9,8,13,9
2026-02-17 00:00:00+00:00,4,3,22,17
2026-02-18 00:00:00+00:00,5,3,24,18
2026-02-19 00:00:00+00:00,3,3,24,15
