time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-18 00:00:00+00:00,37,14,431,50
2024-10-19 00:00:00+00:00,18,4,202,29
2024-10-20 00:00:00+00:00,6,3,150,19
2024-10-21 00:00:00+00:00,31,4,337,45
2024-10-22 00:00:00+00:00,8,5,222,38
2024-10-23 00:00:00+00:00,1,1,229,41
2024-10-24 00:00:00+00:00,18,3,241,42
2024-10-25 00:00:00+00:00,27,4,280,51
2024-10-26 00:00:00+00:00,1,1,83,20
2024-10-27 00:00:00+00:00,24,7,338,113
2024-10-28 00:00:00+00:00,55,9,1039,333
2024-10-29 00:00:00+00:00,13,7,500,151
2024-10-30 00:00:00+00:00,28,8,486,84
2024-10-31 00:00:00+00:00,39,12,499,75
