time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-25 00:00:00+00:00,3,2,51,19
2026-01-26 00:00:00+00:00,13,10,90,27
2026-01-27 00:00:00+00:00,8,8,191,22
2026-01-28 00:00:00+00:00,6,6,51,27
2026-01-29 00:00:00+00:00,6,5,50,30
2026-01-30 00:00:00+00:00,8,7,106,20
2026-01-31 00:00:00+00:00,5,5,93,12
2026-02-01 00:00:00+00:00,3,2,36,16
2026-02-02 00:00:00+00:00,4,4,126,36
2026-02-03 00:00:00+00:00,22,16,90,23
2026-02-04 00:00:00+00:00,4,4,45,23
2026-02-05 00:00:00+00:00,7,6,27,21
2026-02-06 00:00:00+00:00,4,4,56,20
2026-02-07 00:00:00+00:00,12,8,30,15
