time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-23 00:00:00+00:00,4,3,52,21
2025-02-24 00:00:00+00:00,6,3,75,27
2025-02-25 00:00:00+00:00,8,5,133,29
2025-02-26 00:00:00+00:00,1,1,92,22
2025-02-27 00:00:00+00:00,26,6,138,44
2025-02-28 00:00:00+00:00,17,8,218,77
2025-03-01 00:00:00+00:00,12,6,57,18
2025-03-02 00:00:00+00:00,4,4,44,14
2025-03-03 00:00:00+00:00,26,6,223,35
2025-03-04 00:00:00+00:00,4,4,132,28
2025-03-05 00:00:00+00:00,7,2,103,29
2025-03-06 00:00:00+00:00,31,9,187,40
2025-03-07 00:00:00+00:00,20,7,302,29
2025-03-08 00:00:00+00:00,14,5,55,8
