time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,26,6,223,35
2025-03-04 00:00:00+00:00,4,4,132,28
2025-03-05 00:00:00+00:00,7,2,103,29
2025-03-06 00:00:00+00:00,31,9,187,40
2025-03-07 00:00:00+00:00,20,7,302,29
2025-03-08 00:00:00+00:00,15,6,71,11
2025-03-09 00:00:00+00:00,5,5,31,14
2025-03-10 00:00:00+00:00,9,6,136,32
2025-03-11 00:00:00+00:00,66,12,230,35
2025-03-12 00:00:00+00:00,45,3,472,39
2025-03-13 00:00:00+00:00,37,11,311,50
2025-03-14 00:00:00+00:00,4,1,94,24
2025-03-15 00:00:00+00:00,19,8,82,16
2025-03-16 00:00:00+00:00,3,3,76,24
