referrer,views_total,views_unique
github.com,377,15
Google,170,52
Bing,93,9
link.zhihu.com,20,6
cn.bing.com,12,5
luomai.github.io,6,2
DuckDuckGo,5,3
search.brave.com,4,2
martinspace.top,4,1
aliyuque.antfin.com,2,2
