time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-08 00:00:00+00:00,5,2,105,19
2024-12-09 00:00:00+00:00,18,7,165,35
2024-12-10 00:00:00+00:00,39,7,316,57
2024-12-11 00:00:00+00:00,4,4,130,35
2024-12-12 00:00:00+00:00,11,4,95,28
2024-12-13 00:00:00+00:00,11,2,307,28
2024-12-14 00:00:00+00:00,29,10,281,20
2024-12-15 00:00:00+00:00,25,5,212,16
2024-12-16 00:00:00+00:00,30,5,367,39
2024-12-17 00:00:00+00:00,33,5,306,37
2024-12-18 00:00:00+00:00,10,6,146,33
2024-12-19 00:00:00+00:00,9,8,161,32
2024-12-20 00:00:00+00:00,7,6,125,25
2024-12-21 00:00:00+00:00,2,2,60,14
2024-12-22 00:00:00+00:00,7,3,82,17
2024-12-23 00:00:00+00:00,2,2,114,32
2024-12-24 00:00:00+00:00,14,8,329,41
2024-12-25 00:00:00+00:00,8,4,128,32
2024-12-26 00:00:00+00:00,5,5,222,26
2024-12-27 00:00:00+00:00,7,6,156,26
2024-12-28 00:00:00+00:00,53,4,67,20
2024-12-29 00:00:00+00:00,19,3,83,15
2024-12-30 00:00:00+00:00,35,4,200,30
2024-12-31 00:00:00+00:00,23,6,79,19
2025-01-01 00:00:00+00:00,34,5,93,17
2025-01-02 00:00:00+00:00,24,5,288,42
2025-01-03 00:00:00+00:00,2,2,96,22
2025-01-04 00:00:00+00:00,30,3,53,17
2025-01-05 00:00:00+00:00,6,2,57,13
2025-01-06 00:00:00+00:00,6,5,75,23
2025-01-07 00:00:00+00:00,15,6,138,33
2025-01-08 00:00:00+00:00,15,3,95,32
2025-01-09 00:00:00+00:00,2,2,69,24
2025-01-10 00:00:00+00:00,18,4,169,26
2025-01-11 00:00:00+00:00,5,2,43,7
2025-01-12 00:00:00+00:00,10,2,40,16
2025-01-13 00:00:00+00:00,43,3,104,32
2025-01-14 00:00:00+00:00,19,3,95,33
2025-01-15 00:00:00+00:00,3,3,46,17
2025-01-16 00:00:00+00:00,25,6,149,19
2025-01-17 00:00:00+00:00,66,1,136,30
2025-01-18 00:00:00+00:00,41,3,73,17
2025-01-19 00:00:00+00:00,4,1,74,12
2025-01-20 00:00:00+00:00,13,5,234,35
2025-01-21 00:00:00+00:00,3,3,118,29
2025-01-22 00:00:00+00:00,20,3,102,23
2025-01-23 00:00:00+00:00,26,2,163,34
2025-01-24 00:00:00+00:00,24,3,141,32
2025-01-25 00:00:00+00:00,26,2,83,28
2025-01-26 00:00:00+00:00,1,1,97,21
2025-01-27 00:00:00+00:00,1,1,172,28
2025-01-28 00:00:00+00:00,57,1,74,29
2025-01-29 00:00:00+00:00,1,1,98,18
2025-01-30 00:00:00+00:00,59,3,61,26
2025-01-31 00:00:00+00:00,39,2,103,23
2025-02-01 00:00:00+00:00,22,2,64,16
2025-02-02 00:00:00+00:00,65,1,37,16
2025-02-03 00:00:00+00:00,24,7,106,24
2025-02-04 00:00:00+00:00,93,3,235,18
2025-02-05 00:00:00+00:00,31,3,179,28
2025-02-06 00:00:00+00:00,18,7,209,24
2025-02-07 00:00:00+00:00,33,11,211,30
2025-02-08 00:00:00+00:00,19,5,124,21
2025-02-09 00:00:00+00:00,2,2,71,10
2025-02-10 00:00:00+00:00,10,6,102,24
2025-02-11 00:00:00+00:00,25,6,138,31
2025-02-12 00:00:00+00:00,54,10,398,26
2025-02-13 00:00:00+00:00,57,20,234,31
2025-02-14 00:00:00+00:00,25,4,291,29
2025-02-15 00:00:00+00:00,21,9,196,24
2025-02-16 00:00:00+00:00,19,2,115,19
2025-02-17 00:00:00+00:00,41,2,305,29
2025-02-18 00:00:00+00:00,19,5,161,41
2025-02-19 00:00:00+00:00,32,7,346,41
2025-02-20 00:00:00+00:00,11,3,237,39
2025-02-21 00:00:00+00:00,33,12,509,49
2025-02-22 00:00:00+00:00,13,5,125,31
2025-02-23 00:00:00+00:00,4,3,52,21
2025-02-24 00:00:00+00:00,6,3,63,25
